Index,precision,recall,f1-score,support
cats,0.8935960591133005,0.907,0.9002481389578164,1000.0
dogs,0.9055837563451776,0.892,0.8987405541561713,1000.0

accuracy,0.8995,0.8995,0.8995,0.8995
macro avg,0.8995899077292391,0.8995,0.8994943465569938,2000.0
weighted avg,0.8995899077292391,0.8995,0.8994943465569938,2000.0
